text,emotion,emotion_group,platform,country,timestamp,likes,retweets,textblob_score,textblob_sentiment,vader_score,vader_sentiment,sentiment
Regret for decisions that led to a painful present.,Regret,Negative,Twitter,USA,2018-12-15 16:00:00,25,12,-0.35,Negative,-0.6908,Negative,Negative
Disgust at the corruption that stains society.,Disgust,Negative,Instagram,UK,2016-07-01 09:45:00,15,7,0.0,Neutral,-0.5994,Negative,Negative
"Sinking in despair, each day darker than the last.",Despair,Negative,Facebook,India,2020-08-20 20:20:00,20,10,0.0,Neutral,-0.3182,Negative,Negative
"Grief overwhelms, a storm of emotions within.",Grief,Negative,Twitter,Canada,2021-02-25 15:30:00,25,12,-0.8,Negative,-0.6124,Negative,Negative
"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,Negative,Instagram,Australia,2019-09-12 18:10:00,30,15,-0.1,Negative,-0.4767,Negative,Negative
"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,Negative,Facebook,USA,2018-08-05 16:30:00,15,8,0.0,Neutral,-0.836,Negative,Negative
"Resentment festers, a wound that refuses to heal.",Resentment,Negative,Twitter,India,2017-01-12 12:00:00,20,10,0.0,Neutral,-0.4404,Negative,Negative
"Frustration escalates, a thunderstorm of emotions.",Frustration,Negative,Instagram,UK,2022-04-05 14:45:00,25,12,0.0,Neutral,-0.4767,Negative,Negative
"Boredom lingers, a stagnant pool of indifference.",Boredom,Negative,Facebook,Canada,2021-10-02 19:00:00,15,7,0.0,Neutral,-0.3612,Negative,Negative
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,Neutral,Twitter,USA,2023-04-15 10:15:00,30,15,0.0,Neutral,0.0,Neutral,Neutral
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,Neutral,Instagram,Canada,2022-11-28 17:30:00,15,7,0.0,Neutral,-0.4767,Negative,Negative
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,Negative,Facebook,UK,2020-04-02 09:45:00,20,10,-0.3,Negative,-0.7096,Negative,Negative
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,Negative,Twitter,India,2021-08-10 14:00:00,15,8,0.5,Positive,-0.2732,Negative,Negative
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,Negative,Instagram,Australia,2019-06-18 20:45:00,25,12,0.0,Neutral,-0.1027,Negative,Negative
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,Neutral,Facebook,USA,2018-02-05 15:15:00,20,10,0.1,Positive,0.25,Positive,Positive
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,Neutral,Twitter,Canada,2022-05-30 11:30:00,25,12,0.0,Neutral,-0.7269,Negative,Negative
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,Neutral,Instagram,UK,2023-01-10 16:20:00,30,15,0.0,Neutral,0.4588,Positive,Positive
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,Positive,Facebook,India,2020-09-18 13:45:00,20,10,-0.6667,Negative,0.1531,Positive,Positive
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,Positive,Twitter,Australia,2021-07-03 19:00:00,25,12,0.2,Positive,-0.4019,Negative,Negative
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,Neutral,Instagram,USA,2022-10-08 08:15:00,40,20,-0.1556,Negative,0.0,Neutral,Neutral
"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,Neutral,Facebook,Canada,2023-03-22 16:30:00,20,10,-0.1667,Negative,-0.1779,Negative,Negative
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,Negative,Twitter,UK,2021-05-15 11:45:00,30,15,0.0,Neutral,-0.296,Negative,Negative
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,Negative,Instagram,Australia,2019-12-28 14:30:00,15,8,-0.3,Negative,-0.8225,Negative,Negative
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,Negative,Facebook,India,2020-03-01 19:00:00,25,12,0.0,Neutral,-0.2732,Negative,Negative
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,Neutral,Twitter,Canada,2018-07-10 15:45:00,20,10,0.025,Neutral,0.0,Neutral,Neutral
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",Ambivalence,Neutral,Instagram,UK,2022-01-05 10:30:00,25,12,0.0,Neutral,-0.6249,Negative,Negative
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",Acceptance,Neutral,Facebook,Australia,2021-08-20 16:20:00,30,15,0.5,Positive,0.4588,Positive,Positive
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,Positive,Twitter,USA,2019-11-03 13:45:00,35,18,-0.05,Negative,0.6486,Positive,Positive
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,Positive,Instagram,Canada,2020-04-12 19:30:00,50,25,0.25,Positive,0.7579,Positive,Positive
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,Neutral,Facebook,India,2022-04-15 08:45:00,45,22,0.0682,Positive,0.4767,Positive,Positive
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,Neutral,Twitter,UK,2023-02-10 17:00:00,18,9,0.0,Neutral,-0.0516,Negative,Negative
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,Negative,Instagram,Australia,2020-08-05 12:15:00,28,14,0.4,Positive,-0.5574,Negative,Negative
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,Negative,Facebook,USA,2021-12-01 15:30:00,20,10,0.0,Neutral,-0.4588,Negative,Negative
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,Negative,Twitter,Canada,2019-03-25 21:00:00,26,13,0.0,Neutral,0.128,Positive,Positive
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,Neutral,Instagram,India,2017-06-18 14:45:00,25,12,0.1,Positive,0.296,Positive,Positive
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,Neutral,Facebook,Australia,2022-07-08 11:30:00,30,15,0.0,Neutral,-0.5267,Negative,Negative
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,Neutral,Twitter,Canada,2023-05-15 16:20:00,36,18,0.0,Neutral,0.4588,Positive,Positive
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,Positive,Instagram,UK,2021-09-10 14:45:00,40,20,0.0,Neutral,0.4767,Positive,Positive
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,Positive,Facebook,USA,2020-02-28 18:30:00,50,25,0.0,Neutral,0.5423,Positive,Positive
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,Neutral,Instagram,India,2023-03-10 16:30:00,18,9,0.0,Neutral,-0.2023,Negative,Negative
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,Negative,Facebook,Australia,2021-05-02 11:45:00,28,14,0.0,Neutral,-0.296,Negative,Negative
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,Negative,Twitter,UK,2019-10-18 14:30:00,22,11,0.0,Neutral,-0.128,Negative,Negative
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,Negative,Instagram,USA,2020-01-05 20:00:00,26,13,0.0,Neutral,-0.4939,Negative,Negative
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,Neutral,Facebook,Canada,2018-08-10 15:45:00,25,12,-0.075,Negative,0.0,Neutral,Neutral
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,Neutral,Twitter,India,2022-01-15 10:30:00,30,15,0.0,Neutral,-0.4019,Negative,Negative
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,Neutral,Instagram,Australia,2021-07-20 16:20:00,36,18,0.85,Positive,0.4939,Positive,Positive
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,Positive,Facebook,USA,2019-12-03 13:45:00,40,20,0.3333,Positive,0.4019,Positive,Positive
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",Serenity,Positive,Twitter,Canada,2020-04-12 19:30:00,50,25,-0.2,Negative,0.2263,Positive,Positive
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",Curiosity,Neutral,Instagram,UK,2022-05-08 08:45:00,45,22,-0.1,Negative,0.2263,Positive,Positive
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",Indifference,Neutral,Facebook,India,2023-02-22 17:00:00,18,9,0.0,Neutral,-0.4215,Negative,Negative
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",Confusion,Negative,Twitter,Australia,2020-06-05 12:15:00,28,14,0.0,Neutral,-0.2023,Negative,Negative
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,Negative,Instagram,Canada,2021-11-30 15:30:00,20,10,0.0,Neutral,-0.128,Negative,Negative
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",Melancholy,Negative,Facebook,UK,2019-02-25 21:00:00,26,13,0.0,Neutral,-0.34,Negative,Negative
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",Nostalgia,Neutral,Twitter,USA,2017-05-18 14:45:00,25,12,0.1,Positive,0.3182,Positive,Positive
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",Ambivalence,Neutral,Instagram,Canada,2022-08-05 11:30:00,30,15,0.0,Neutral,-0.4019,Negative,Negative
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",Acceptance,Neutral,Facebook,Australia,2023-06-15 16:20:00,36,18,-0.1667,Negative,0.7783,Positive,Positive
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",Determination,Positive,Twitter,UK,2021-10-10 14:45:00,40,20,0.0,Neutral,0.6908,Positive,Positive
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",Serenity,Positive,Instagram,USA,2020-05-12 19:30:00,50,25,0.0,Neutral,0.5423,Positive,Positive
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,Neutral,Facebook,India,2022-12-01 09:15:00,44,22,0.0,Neutral,0.4404,Positive,Positive
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",Zest,Positive,Twitter,USA,2018-07-12 17:45:00,30,15,0.8,Positive,0.802,Positive,Positive
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",Contentment,Positive,Facebook,Australia,2020-09-05 20:10:00,36,18,0.3,Positive,0.6705,Positive,Positive
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",Hopeful,Positive,Instagram,India,2022-04-18 08:00:00,24,12,0.0,Neutral,0.8591,Positive,Positive
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",Proud,Positive,Twitter,Canada,2019-12-10 12:20:00,50,25,0.8,Positive,0.5994,Positive,Positive
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",Grateful,Positive,Facebook,USA,2023-02-28 09:45:00,40,20,0.0,Neutral,0.8625,Positive,Positive
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",Empathetic,Positive,Instagram,UK,2018-04-03 14:15:00,30,15,0.0,Neutral,0.7579,Positive,Positive
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",Compassionate,Positive,Twitter,Australia,2022-06-20 10:30:00,36,18,-0.1,Negative,0.5106,Positive,Positive
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",Playful,Positive,Facebook,Canada,2020-07-08 18:00:00,44,22,0.15,Positive,0.891,Positive,Positive
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",Free-spirited,Positive,Instagram,India,2021-08-15 11:10:00,40,20,0.4,Positive,0.6124,Positive,Positive
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",Inspired,Positive,Twitter,UK,2019-10-25 16:50:00,30,15,0.1288,Positive,0.743,Positive,Positive
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",Hopeful,Positive,Facebook,USA,2023-10-05 07:30:00,24,12,0.3636,Positive,0.8779,Positive,Positive
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",Confident,Positive,Instagram,Australia,2022-02-15 13:15:00,50,25,0.0,Neutral,0.5574,Positive,Positive
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",Serenity,Positive,Twitter,Canada,2021-05-08 22:00:00,26,13,0.0,Neutral,0.1027,Positive,Positive
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",Curiosity,Neutral,Instagram,USA,2020-11-29 14:45:00,34,17,0.0,Neutral,0.296,Positive,Positive
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",Ambivalence,Neutral,Facebook,UK,2019-09-14 10:20:00,28,14,0.0,Neutral,-0.0258,Neutral,Neutral
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",Grateful,Positive,Twitter,Australia,2022-03-12 19:55:00,38,19,0.25,Positive,0.8885,Positive,Positive
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",Zest,Positive,Instagram,India,2023-03-30 16:30:00,32,16,0.8,Positive,0.872,Positive,Positive
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,Positive,Facebook,Canada,2021-07-01 12:10:00,42,21,0.1,Positive,0.8658,Positive,Positive
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,Positive,Twitter,USA,2020-01-05 08:45:00,46,23,0.55,Positive,0.8225,Positive,Positive
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,Positive,Instagram,UK,2022-07-17 06:15:00,28,14,0.0,Neutral,0.8555,Positive,Positive
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,Positive,Facebook,Australia,2018-08-22 17:20:00,48,24,0.0,Neutral,0.9169,Positive,Positive
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,Positive,Twitter,India,2021-12-08 14:30:00,36,18,0.0,Neutral,0.9325,Positive,Positive
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,Positive,Instagram,Canada,2019-04-27 09:50:00,40,20,0.0,Neutral,0.9042,Positive,Positive
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,Positive,Facebook,USA,2023-09-03 21:40:00,32,16,-0.15,Negative,0.4215,Positive,Positive
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,Positive,Twitter,UK,2020-06-10 10:05:00,44,22,0.1,Positive,0.7717,Positive,Positive
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,Positive,Instagram,Australia,2022-04-01 18:30:00,38,19,0.45,Positive,0.8126,Positive,Positive
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,Positive,Facebook,Canada,2021-01-15 13:00:00,46,23,0.5,Positive,0.743,Positive,Positive
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,Positive,Twitter,India,2023-05-06 07:20:00,30,15,0.0,Neutral,0.9001,Positive,Positive
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,Positive,Instagram,USA,2019-11-18 15:15:00,50,25,0.8,Positive,0.8625,Positive,Positive
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,Positive,Facebook,UK,2020-08-29 20:45:00,28,14,0.0,Neutral,0.5267,Positive,Positive
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,Positive,Twitter,Australia,2022-10-30 11:40:00,34,17,0.0,Neutral,0.7506,Positive,Positive
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",Despair,Negative,Instagram,Canada,2021-09-15 16:00:00,16,8,0.0,Neutral,-0.8957,Negative,Negative
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",Bitterness,Negative,Facebook,UK,2019-03-08 14:20:00,24,12,0.0,Neutral,-0.5267,Negative,Negative
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",Loneliness,Negative,Twitter,USA,2017-07-20 11:45:00,30,15,-0.2,Negative,-0.2144,Negative,Negative
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",Yearning,Neutral,Instagram,Australia,2020-11-02 19:30:00,20,10,-0.35,Negative,0.5719,Positive,Positive
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",Fearful,Negative,Facebook,India,2022-05-12 02:00:00,36,18,-0.3333,Negative,-0.886,Negative,Negative
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",Apprehensive,Negative,Twitter,UK,2023-04-08 13:15:00,28,14,0.0,Neutral,-0.4767,Negative,Negative
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",Overwhelmed,Negative,Instagram,Canada,2021-06-25 17:50:00,44,22,0.0,Neutral,-0.5859,Negative,Negative
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",Jealous,Negative,Facebook,USA,2019-08-30 10:10:00,32,16,-0.0167,Neutral,0.6249,Positive,Positive
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",Devastated,Negative,Twitter,Australia,2022-08-03 15:30:00,50,25,-0.4,Negative,-0.6705,Negative,Negative
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",Frustrated,Negative,Instagram,India,2020-12-17 09:20:00,24,12,-0.7,Negative,-0.6908,Negative,Negative
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",Envious,Negative,Facebook,USA,2021-02-28 22:45:00,40,20,-0.7,Negative,0.2732,Positive,Positive
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",Dismissive,Negative,Twitter,UK,2018-05-10 14:00:00,28,14,0.0,Neutral,-0.0516,Negative,Negative
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,Negative,Instagram,Canada,2022-01-07 11:10:00,30,15,-0.6,Negative,-0.6486,Negative,Negative
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,Negative,Facebook,Australia,2019-09-19 03:30:00,36,18,0.0,Neutral,-0.4215,Negative,Negative
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",Fearful,Negative,Twitter,UK,2023-07-14 23:00:00,26,13,-0.3833,Negative,-0.743,Negative,Negative
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",Bitterness,Negative,Instagram,India,2020-04-05 16:20:00,20,10,-0.1,Negative,-0.7717,Negative,Negative
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",Overwhelmed,Negative,Facebook,USA,2021-11-29 08:45:00,40,20,0.0,Neutral,-0.5859,Negative,Negative
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",Jealous,Negative,Twitter,Australia,2019-12-12 17:00:00,32,16,0.0,Neutral,-0.7269,Negative,Negative
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",Devastated,Negative,Instagram,Canada,2022-05-20 14:50:00,50,25,0.0,Neutral,-0.8555,Negative,Negative
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",Frustrated,Negative,Facebook,UK,2020-09-03 12:15:00,28,14,-0.4,Negative,-0.6124,Negative,Negative
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",Envious,Negative,Twitter,USA,2021-02-10 19:30:00,40,20,0.0667,Positive,-0.0516,Negative,Negative
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",Dismissive,Negative,Instagram,Australia,2018-08-18 14:40:00,24,12,0.0,Neutral,-0.2732,Negative,Negative
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",Despair,Negative,Facebook,Canada,2022-02-28 21:00:00,16,8,-0.1,Negative,-0.5994,Negative,Negative
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",Bitterness,Negative,Twitter,UK,2019-10-15 10:30:00,30,15,-0.1,Negative,-0.8316,Negative,Negative
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",Loneliness,Negative,Instagram,USA,2017-12-01 18:50:00,36,18,-0.35,Negative,-0.743,Negative,Negative
"Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon.",Yearning,Neutral,Facebook,Australia,2020-04-18 16:15:00,20,10,0.0,Neutral,0.428,Positive,Positive
"Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners.",Fearful,Negative,Twitter,India,2023-01-07 03:30:00,36,18,-0.9,Negative,-0.9382,Negative,Negative
"Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt.",Apprehensive,Negative,Instagram,Canada,2021-06-10 10:00:00,28,14,0.1,Positive,-0.5994,Negative,Negative
"Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience.",Overwhelmed,Negative,Facebook,USA,2020-02-22 15:20:00,44,22,0.0,Neutral,-0.2023,Negative,Negative
"Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence.",Jealous,Negative,Twitter,UK,2018-03-17 14:45:00,32,16,0.0,Neutral,-0.6808,Negative,Negative
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole.",Devastated,Negative,Instagram,Australia,2022-10-28 11:15:00,50,25,0.025,Neutral,-0.8074,Negative,Negative
"Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication.",Frustrated,Negative,Facebook,India,2020-11-01 12:30:00,28,14,-0.2667,Negative,-0.6808,Negative,Negative
"Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive.",Envious,Negative,Twitter,USA,2021-01-15 22:10:00,40,20,0.0,Neutral,0.6597,Positive,Positive
Awe-struck by the breathtaking sunrise over the mountains.,Awe,Positive,Instagram,USA,2022-04-03 06:15:00,55,28,1.0,Positive,0.4588,Positive,Positive
Navigating through the challenges with determination.,Determination,Positive,Twitter,Canada,2023-10-12 10:30:00,30,15,0.0,Neutral,0.4588,Positive,Positive
Nostalgia hits while flipping through an old photo album.,Nostalgia,Neutral,Facebook,UK,2019-06-28 19:00:00,45,22,0.1,Positive,0.0,Neutral,Neutral
Thrilled to witness the grandeur of a cultural festival.,Thrill,Positive,Instagram,India,2020-09-15 14:45:00,80,40,0.35,Positive,0.8591,Positive,Positive
Calmness found in the rhythm of raindrops on the windowpane.,Calmness,Positive,Twitter,Australia,2017-11-08 21:20:00,35,18,0.0,Neutral,0.4019,Positive,Positive
Overwhelmed by the support received during a personal challenge.,Overwhelmed,Negative,Facebook,USA,2021-05-20 17:30:00,50,25,0.0,Neutral,0.4939,Positive,Positive
Excitement builds as the countdown to a long-awaited vacation begins.,Excitement,Positive,Instagram,France,2023-01-10 12:00:00,60,30,-0.05,Negative,0.4939,Positive,Positive
"Reflecting on life's journey, grateful for the lessons learned.",Gratitude,Positive,Twitter,Brazil,2018-12-05 08:45:00,70,35,0.0,Neutral,0.4588,Positive,Positive
Bittersweet emotions arise while bidding farewell to a dear friend.,Bittersweet,Neutral,Instagram,Japan,2020-03-15 18:30:00,40,20,0.0,Neutral,0.6705,Positive,Positive
Curiosity sparked by exploring a mysterious ancient ruin.,Curiosity,Neutral,Facebook,Greece,2016-08-22 15:10:00,35,18,0.0,Neutral,-0.5859,Negative,Negative
Admiration for the intricate details of a handcrafted masterpiece.,Admiration,Positive,Instagram,USA,2019-08-20 16:00:00,50,25,0.0,Neutral,0.8481,Positive,Positive
Overjoyed by the warmth of a cozy fireplace on a winter evening.,Overjoyed,Positive,Twitter,Canada,2021-12-08 19:30:00,35,18,-0.2,Negative,0.7717,Positive,Positive
Inspiration strikes while observing the colors of a vibrant sunset.,Inspiration,Positive,Instagram,UK,2020-06-10 20:45:00,60,30,0.1667,Positive,0.6486,Positive,Positive
Motivated to achieve fitness goals after an invigorating workout.,Motivation,Positive,Facebook,Australia,2022-02-28 07:15:00,80,40,0.0,Neutral,0.802,Positive,Positive
Gratitude for the simple joys found in a cup of morning coffee.,Gratitude,Positive,Twitter,India,2017-04-15 08:00:00,45,22,0.0,Neutral,0.7579,Positive,Positive
Feeling empowered after conquering a challenging hiking trail.,Empowerment,Positive,Instagram,USA,2018-09-05 14:20:00,70,35,0.5,Positive,0.2732,Positive,Positive
Amused by the antics of playful kittens during playtime.,Amusement,Positive,Facebook,Canada,2022-10-22 12:45:00,30,15,0.0,Neutral,0.6908,Positive,Positive
Contemplating life's mysteries under the starry night sky.,Contemplation,Neutral,Twitter,UK,2016-07-02 23:30:00,55,28,0.0,Neutral,0.0,Neutral,Neutral
Joyful reunion with long-lost friends after years of separation.,JoyfulReunion,Positive,Instagram,India,2020-11-18 17:10:00,40,20,-0.05,Negative,0.7906,Positive,Positive
Excitement builds while preparing for a surprise celebration.,Excitement,Positive,Facebook,Australia,2023-03-05 15:00:00,60,30,0.0,Neutral,0.6486,Positive,Positive
Satisfaction derived from successfully completing a DIY project.,Satisfaction,Positive,Twitter,USA,2015-12-01 11:30:00,50,25,0.75,Positive,0.7269,Positive,Positive
Feeling blessed for the supportive community in times of need.,Blessed,Positive,Instagram,UK,2021-09-10 09:45:00,35,18,0.5,Positive,0.765,Positive,Positive
Captivated by the serenity of a tranquil garden in full bloom.,Serenity,Positive,Facebook,Canada,2018-05-12 14:20:00,45,22,0.35,Positive,0.4215,Positive,Positive
Anticipation for an upcoming adventure in an exotic destination.,Anticipation,Neutral,Twitter,India,2022-07-25 10:00:00,80,40,0.5,Positive,0.4019,Positive,Positive
Reflecting on personal growth achieved through life experiences.,Reflection,Neutral,Instagram,USA,2019-03-08 18:30:00,70,35,0.0,Neutral,0.3818,Positive,Positive
Nostalgic memories flood in while revisiting childhood favorites.,Nostalgia,Neutral,Facebook,Australia,2017-01-28 21:15:00,40,20,-0.5,Negative,0.4215,Positive,Positive
Appreciation for the vibrant culture experienced during travel.,Appreciation,Positive,Twitter,UK,2016-11-14 13:45:00,55,28,0.4833,Positive,0.7717,Positive,Positive
